Key,Value
984,7020
985,7021
986,7024
987,7036
988,7043
989,7045
990,7049
991,7061
992,7062
993,7064
994,7075
995,7076
996,7077
997,7083
998,7095
999,7096
1000,7103
1001,7109
1002,7127
1003,7130
1004,7136
1005,7139
1006,7147
1007,7154
1008,7168
1009,7169
1010,7194
1011,7200
1012,7201
1013,7202
1014,7206
1015,7208
1016,7209
1017,7211
1018,7218
1019,7242
1020,7255
1021,7260
1022,7265
1023,7266
1024,7273
1025,7280
1026,7285
1027,7320
1028,7330
1029,7338
1030,7344
1031,7367
1032,7368
1033,7369
1034,7372
1035,7400
1036,7401
1037,7403
1038,7407
1039,7408
1040,7409
1041,7410
1042,7411
1043,7412
1044,7419
1045,7421
1046,7423
1047,7425
1048,7426
1049,7431
1050,7442
1051,7449
1052,7451
1053,7455
1054,7468
1055,7475
1056,7501
1057,7515
1058,7530
1059,7536
1060,7564
1061,7567
1062,7568
1063,7569
1064,7576
1065,7582
1066,7599
1067,7600
1068,7601
1069,7608
1070,7609
1071,7619
1072,7621
1073,7645
1074,7653
1075,7659
1076,7664
1077,7675
1078,7679
1079,7688
1080,7707
1081,7712
1082,7714
1083,7716
1084,7721
1085,7762
1086,7766
1087,7768
1088,7769
1089,7770
1090,7771
1091,7776
1092,7779
1093,7788
1094,7793
1095,7800
1096,7801
1097,7808
1098,7809
1099,7828
1100,7834
1101,7847
1102,7861
1103,7862
1104,7864
1105,7865
1106,7871
1107,7876
1108,7886
1109,7894
1110,7895
1111,7903
1112,7912
1113,7930
1114,7933
1115,7939
1116,7950
1117,7966
1118,7968
1119,7969
1120,7972
1121,7987
1122,7988
1123,7991
1124,8000
1125,8001
1126,8002
1127,8007
1128,8008
1129,8009
1130,8019
1131,8024
1132,8025
1133,8027
1134,8046
1135,8051
1136,8055
1137,8056
1138,8061
1139,8063
1140,8080
1141,8098
1142,8109
1143,8122
1144,8129
1145,8133
1146,8147
1147,8153
1148,8168
1149,8169
1150,8180
1151,8184
1152,8187
1153,8190
1154,8191
1155,8198
1156,8199
1157,8200
1158,8201
1159,8208
1160,8209
1161,8212
1162,8218
1163,8229
1164,8233
1165,8240
1166,8247
1167,8257
1168,8260
1169,8263
1170,8264
1171,8266
1172,8276
1173,8285
1174,8306
1175,8327
1176,8336
1177,8338
1178,8354
1179,8368
1180,8369
1181,8376
1182,8379
1183,8381
1184,8383
1185,8400
1186,8401
1187,8408
1188,8409
1189,8421
1190,8427
1191,8434
1192,8457
1193,8466
1194,8470
1195,8471
1196,8483
1197,8491
1198,8500
1199,8513
1200,8516
1201,8520
1202,8529
1203,8537
1204,8552
1205,8559
1206,8561
1207,8565
1208,8568
1209,8569
1210,8573
1211,8590
1212,8600
1213,8601
1214,8607
1215,8608
1216,8609
1217,8626
1218,8632
1219,8636
1220,8657
1221,8661
1222,8667
1223,8671
1224,8687
1225,8690
1226,8707
1227,8709
1228,8737
1229,8749
1230,8750
1231,8756
1232,8757
1233,8759
1234,8765
1235,8767
1236,8771
1237,8778
